,name,year,team,WAR,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,피안타,이루타,삼루타,홈런,볼넷,고의사구,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WPA
208,김민우,18,한화,-0.12,23,0,0,20,5,9,0,0,99.1,79,72,468,133,28,1,19,41,0,8,73,1,5,6.52,6.33,1.75,81.2,84.5,-0.12
209,김민우,22,한화,-0.13,14,0,0,14,3,5,0,0,73.0,44,42,321,64,16,0,9,40,4,4,59,0,5,5.18,4.92,1.43,74.1,79.2,-0.13
210,김이환,20,한화,-0.17,17,0,0,15,2,7,0,0,64.2,50,49,312,75,13,0,9,44,0,4,41,0,4,6.82,6.32,1.84,69.3,75.8,-0.17
211,장민재,20,한화,-0.19,24,0,0,10,2,7,0,0,57.1,44,43,267,86,19,2,5,13,0,2,32,0,1,6.75,4.36,1.73,70.0,109.8,-0.19
212,윌슨,18,LG,6.31,26,1,1,26,9,4,0,0,170.0,63,58,689,158,23,3,11,35,1,6,149,1,10,3.07,3.63,1.14,164.3,139.4,6.31
213,켈리,21,LG,4.96,30,0,0,30,13,8,0,0,177.0,64,62,744,160,25,0,12,60,3,11,142,1,7,3.15,3.76,1.24,136.8,115.1,4.96
214,소사,18,LG,4.95,27,1,1,27,9,9,0,0,181.1,83,71,760,192,44,1,16,28,1,4,181,0,6,3.52,3.5,1.21,143.2,143.3,4.95
215,수아레즈,21,LG,4.43,23,0,0,22,10,2,0,0,115.1,33,28,473,91,16,2,4,41,0,4,126,0,2,2.18,2.77,1.15,197.4,157.7,4.43
216,켈리,20,LG,4.26,28,1,1,28,15,7,0,0,173.1,67,64,705,160,29,1,16,40,0,11,134,0,4,3.32,4.09,1.15,139.3,112.7,4.26
217,켈리,19,LG,3.98,29,0,0,29,14,12,0,0,180.1,70,51,747,164,33,3,7,41,0,16,126,0,12,2.55,3.46,1.14,161.3,118.7,3.98
218,고우석,19,LG,3.89,64,0,0,0,8,2,34,1,70.0,13,12,284,47,7,1,4,29,4,4,76,0,2,1.54,3.22,1.09,266.1,126.7,3.89
219,윌슨,19,LG,3.40,30,1,0,30,14,7,0,0,185.0,77,60,763,171,27,2,7,43,1,11,137,0,6,2.92,3.27,1.16,140.6,125.4,3.4
220,정우영,21,LG,3.21,70,0,0,0,7,3,2,27,65.0,16,16,263,43,9,0,0,26,1,8,41,0,2,2.22,3.59,1.06,194.7,123.3,3.21
221,고우석,21,LG,3.13,63,0,0,0,1,5,30,0,58.0,15,14,240,47,10,1,3,23,5,3,68,0,1,2.17,2.75,1.21,198.6,157.6,3.13
222,정우영,20,LG,2.67,65,0,0,0,4,4,5,20,75.0,26,26,305,48,5,0,3,29,3,11,59,0,1,3.12,3.98,1.03,148.3,117.5,2.67
223,켈리,22,LG,2.19,12,0,0,12,8,1,0,0,73.2,23,20,297,65,5,1,4,16,0,2,68,0,2,2.44,2.89,1.1,155.9,131.2,2.19
224,김대유,21,LG,2.09,64,0,0,0,4,1,0,24,50.2,13,12,209,32,1,0,2,15,0,9,56,0,2,2.13,3.06,0.93,202.4,142.4,2.09
225,이정용,21,LG,1.88,66,0,0,0,3,3,0,15,69.2,25,23,284,55,13,2,4,23,1,1,74,0,0,2.97,2.95,1.12,145.2,146.9,1.88
226,이민호,20,LG,1.79,20,0,0,16,4,4,0,0,97.2,46,40,434,94,19,0,5,44,1,10,67,1,4,3.69,4.48,1.41,125.6,104.4,1.79
227,임찬규,20,LG,1.51,27,0,0,26,10,9,0,0,147.2,76,67,641,143,29,2,14,65,0,5,138,0,4,4.08,4.34,1.41,113.3,106.3,1.51
228,정찬헌,20,LG,1.50,19,1,1,19,7,4,0,0,110.1,51,43,470,116,22,1,10,31,0,4,85,0,5,3.51,4.15,1.33,131.9,111.4,1.5
229,플럿코,22,LG,1.48,14,0,0,14,6,3,0,0,83.1,35,28,339,68,9,1,9,22,1,0,81,0,5,3.02,3.51,1.08,126.0,106.3,1.48
230,차우찬,19,LG,1.44,29,0,0,28,13,8,0,0,168.1,87,77,730,181,30,1,16,59,0,5,124,0,13,4.12,4.31,1.43,99.7,94.1,1.44
231,임찬규,21,LG,1.38,17,0,0,17,1,8,0,0,90.2,45,39,387,76,9,3,7,41,1,3,67,0,5,3.87,4.28,1.29,111.4,101.1,1.38
