"순 이름 팀 정렬
G
타석
47 권동진 21KSS 0.42 86 85 66 21 17 5 0 1 25 6 3 3 18 0 0 30 0 .417 .379 .796 .382 124.9 0.42 -0.03
48 조용호 21KLF 0.39 138 515 428 71 101 14 1 0 117 48 12 9 74 3 0 85 8 .349 .273 .622 .310 77.7 0.39 0.21
49 박승욱 20K2B 0.34 97 128 110 23 29 3 2 1 39 10 5 1 11 4 0 37 1 .349 .355 .704 .327 87.1 0.34 -0.37
50 강백호 22KDH 0.31 15 64 55 8 15 6 0 1 24 6 0 0 7 1 1 10 0 .359 .436 .796 .359 125.7 0.31 -0.04
"순 이름 팀 정렬
G
타석
타수
득점
안타
2타
3타
홈런
루타
타점
도루
도실
볼넷
사구
고4
삼진
병살
WAR*
WPA"
"WAR*
타율
출루
장타
OPS
wOBA
wRC+"
51 허도환 21KC 0.29 62 125 105 8 29 6 0 2 41 21 0 0 8 2 0 28 3 .339 .390 .730 .317 82.1 0.29 0.19
52 문상철 20K1B 0.28 74 172 154 24 40 3 2 8 71 25 0 1 11 2 0 43 4 .314 .461 .775 .336 94.6 0.28 -0.98
53 강민국 19KSS 0.28 58 94 88 12 24 0 1 0 26 7 2 0 6 0 0 17 2 .319 .295 .615 .295 72.5 0.28 -0.14
54 라모스 22KRF 0.27 18 80 72 10 18 1 1 3 30 11 2 0 4 2 0 18 2 .304 .417 .721 .324 102.7 0.27 -0.16
55 신본기 21K2B 0.26 96 205 173 25 41 8 0 1 52 19 1 2 22 4 0 44 6 .335 .301 .636 .305 74.7 0.26 -0.52
56 송민섭 19KRF 0.23 105 64 53 24 16 0 1 0 18 4 1 3 7 2 0 13 0 .397 .340 .736 .350 110.4 0.23 0.38
57 허도환 20KC 0.23 52 62 53 2 14 1 0 0 15 5 0 0 6 2 0 15 2 .361 .283 .644 .314 78.4 0.23 0.56
58 박경수 21K2B 0.10 118 280 239 24 46 10 0 9 83 33 0 1 34 3 2 76 7 .301 .347 .648 .301 72.4 0.10 -0.95
59 김민혁 22KLF 0.08 63 242 206 30 56 4 1 0 62 23 3 3 22 1 0 35 5 .341 .301 .642 .296 80.9 0.08 0.43
60 오태곤 20KLF -0.01 40 55 50 7 11 1 1 0 14 5 1 0 1 4 0 16 2 .291 .280 .571 .275 54.1 -0.01 0.01
"순 이름 팀 정렬
G
타석
타수
득점
안타
2타
3타
홈런
루타
타점
도루
도실
볼넷
사구
고4
삼진
병살
WAR*
WPA"
"WAR*
타율
출루
장타
OPS
wOBA
wRC+"
61 홍현빈 22KRF -0.02 44 83 68 6 16 2 0 0 18 1 4 0 9 0 0 23 1 .325 .265 .589 .268 62.3 -0.02 -0.73
62 문상철 21KDH -0.07 53 105 95 14 20 6 0 2 32 16 2 0 8 2 0 33 1 .286 .337 .623 .295 67.8 -0.07 -0.84
63 정현 18KSS -0.07 65 132 117 16 31 7 0 2 44 9 3 0 9 0 0 28 3 .318 .376 .694 .297 63.2 -0.07 -1.26
64 문상철 19K1B -0.08 33 67 59 8 12 1 0 2 19 7 2 0 4 2 0 26 1 .269 .322 .591 .274 60.7 -0.08 -0.28
65 심우준 20KSS -0.08 144 535 476 58 112 16 3 3 143 51 35 11 37 2 0 98 7 .291 .300 .591 .271 50.3 -0.08 -2.65
66 심우준 18KSS -0.09 135 403 367 49 95 23 3 4 136 29 11 11 20 4 1 58 4 .304 .371 .674 .291 59.5 -0.09 -0.42
67 오태곤 18KLF -0.10 128 374 342 55 87 17 2 12 144 39 13 8 24 4 0 92 7 .310 .421 .731 .317 76.5 -0.10 -0.03
68 강민국 21K2B -0.10 18 50 45 2 11 2 0 0 13 4 0 0 3 0 0 6 1 .292 .289 .581 .270 50.6 -0.10 -0.17
69 이해창 18KC -0.15 83 174 162 19 35 4 0 8 63 24 0 3 8 3 0 49 3 .266 .389 .655 .282 54.5 -0.15 -0.69
70 김민혁 20KLF -0.16 108 249 222 35 53 5 2 5 77 25 8 4 22 2 0 42 4 .312 .347 .659 .304 73.1 -0.16 0.86
