"순 이름 팀 정렬
6 KIA 16 21.40 1924 5696 4999 803 1429 264 28 170 2259 754 101 50 499 87 12 997 109 66 45 .286 .358 .452 .810 .360 99.6 21.40 10.68
7 LG 16 20.29 1936 5765 5051 786 1464 238 26 118 2108 744 121 70 523 72 10 982 92 65 54 .290 .361 .417 .779 .352 98.0 20.29 13.27
8 SK 16 20.23 1834 5672 5023 753 1464 234 19 182 2282 715 89 60 429 102 13 1018 104 71 47 .291 .356 .454 .811 .359 100.1 20.23 7.56
9 한화 16 17.49 1888 5838 5109 826 1478 242 27 142 2200 787 64 38 510 91 19 1025 123 87 41 .289 .362 .431 .792 .355 95.6 17.49 14.55
10 kt 16 9.51 1921 5620 4963 672 1369 214 11 116 1953 639 96 46 499 48 7 933 130 65 45 .276 .345 .394 .738 .336 83.6 9.51 1.72
"순 이름 팀 정렬
G
타석
타수
득점
안타
2타
3타
홈런
루타
타점
도루
도실
볼넷
사구
고4
삼진
병살
희타
희비
비율
WAR*
WPA"
"WAR*
타율
출루
장타
OPS
wOBA
wRC+"
1 두산 17 34.82 1825 5833 5102 849 1499 270 20 178 2343 812 69 33 541 95 19 960 120 48 47 .294 .369 .459 .828 .364 116.5 34.82 17.72
2 KIA 17 31.25 1933 5841 5142 906 1554 292 29 170 2414 868 76 34 499 89 19 891 118 55 56 .302 .370 .469 .840 .367 113.1 31.25 20.61
3 NC 17 26.45 1987 5790 5079 786 1489 277 19 149 2251 739 93 32 471 130 19 979 119 62 48 .293 .365 .443 .808 .356 106.7 26.45 12.44
4 넥센 17 23.45 1813 5712 5098 789 1479 267 30 141 2229 748 70 34 468 83 15 1066 129 21 42 .290 .357 .437 .794 .353 102.9 23.45 10.04
5 SK 17 20.14 1772 5564 4925 761 1337 222 15 234 2291 733 53 42 427 113 20 1100 97 57 41 .271 .341 .465 .806 .349 99.3 20.14 12.43
6 롯데 17 19.90 1844 5671 4994 743 1425 250 17 151 2162 697 92 44 457 112 33 1018 146 76 32 .285 .356 .433 .789 .347 98.0 19.90 12.54
7 한화 17 17.50 1787 5665 5030 736 1445 261 16 150 2188 684 64 44 416 94 15 974 112 85 38 .287 .351 .435 .786 .344 96.8 17.50 8.18
8 삼성 17 16.81 1786 5707 5095 757 1419 255 36 145 2181 703 98 37 429 70 17 983 97 58 55 .279 .340 .428 .768 .337 92.7 16.81 5.87
9 LG 17 15.83 1896 5614 4944 699 1390 216 20 110 1976 664 77 56 438 101 17 1021 123 76 55 .281 .348 .400 .748 .333 93.0 15.83 3.60
