,ranking,name,season_team,war,choolzhang,wanto,sonbal,win,loose,save,hold,inning,silzeom,zachaeck,taza,anta,2hit,3hit,homerun,ballfour,gofour,sagu,samzin,vok,poktu,era,fip,whip,wra+,fip+,wpa
332,20,정영일,19S,1.17,44,0,0,0,1,2,1,8,42.0,15,15,175,32,3,1,1,22,2,1,35,0,2,3.21,1.29,132.4,118.9,0.44
333,21,서진용,20S,1.09,63,0,0,0,2,7,8,12,61.0,33,28,264,52,4,1,11,34,1,1,56,0,7,4.13,1.41,116.8,85.4,-1.57
334,22,김태훈,19S,1.05,71,0,0,0,4,5,7,27,69.2,33,31,296,62,8,0,4,26,0,4,76,0,7,4.00,1.26,106.3,130.9,0.42
335,23,이건욱,20S,1.03,27,0,0,25,6,12,0,0,122.0,77,77,542,105,16,4,11,81,0,6,91,1,6,5.68,1.53,84.9,90.3,-1.61
336,24,박희수,19S,0.91,34,0,0,0,0,1,1,2,28.2,8,4,124,29,2,0,1,13,0,3,14,0,0,1.26,1.47,338.9,92.7,0.28
337,25,박희수,18S,0.83,35,0,0,0,1,2,0,4,33.0,14,12,146,35,8,0,1,15,0,3,30,0,0,3.27,1.52,160.6,128.8,-0.95
338,26,윤희상,18S,0.71,46,0,0,1,1,2,1,7,51.0,29,29,211,55,5,1,8,7,1,2,44,0,1,5.12,1.22,102.7,115.4,-0.22
339,27,이태양,20S,0.60,46,0,0,0,2,1,0,4,47.1,28,27,211,57,10,0,7,11,1,1,37,0,2,5.13,1.44,94.0,106.3,0.31
340,28,이승진,18S,0.56,34,0,0,2,0,1,0,0,41.1,25,21,189,41,6,0,6,20,1,4,37,0,6,4.57,1.48,115.0,94.4,-0.65
341,29,조영우,20S,0.54,35,0,0,7,2,4,0,0,77.0,52,51,340,96,18,1,12,25,0,2,38,0,4,5.96,1.57,80.9,86.4,-0.71
342,30,채병용,18S,0.51,29,0,0,0,2,1,1,3,30.0,16,16,128,33,5,0,8,8,0,1,15,0,0,4.80,1.37,109.5,73.9,-0.05
343,31,김정빈,20S,0.36,57,0,0,0,1,1,1,10,47.1,30,27,226,37,8,1,5,45,1,8,42,0,6,5.13,1.73,94.0,75.4,-0.14
344,32,강지광,19S,0.29,25,0,0,0,2,4,0,6,27.1,14,12,115,24,5,0,0,11,1,0,15,0,3,3.95,1.28,107.7,122.9,0.46
345,33,박정배,18S,0.26,49,0,0,0,1,3,9,2,44.2,30,29,197,51,15,0,9,12,2,2,44,0,1,5.84,1.41,90.0,101.1,-2.40
346,34,김세현,20S,0.24,42,0,0,0,2,0,1,7,42.0,28,27,187,44,7,0,7,22,0,1,35,0,1,5.79,1.57,83.4,85.9,-0.95
347,35,서진용,18S,0.11,48,0,0,0,3,2,1,12,50.0,36,34,225,52,8,2,14,23,3,2,58,0,4,6.12,1.50,85.9,82.9,-0.01
348,36,정영일,18S,-0.04,51,0,0,0,3,0,0,13,44.0,33,26,205,48,10,0,7,21,1,5,33,0,4,5.32,1.57,98.9,86.6,-0.41
349,37,김주온,20S,-0.10,29,0,0,0,0,3,0,0,31.0,27,26,160,46,7,0,5,22,0,5,18,0,5,7.55,2.19,63.9,68.6,-0.68
350,38,핀토,20S,-0.28,30,0,0,30,6,15,0,0,162.0,121,111,766,198,35,1,19,90,3,11,112,2,11,6.17,1.78,78.2,88.3,-2.27
351,39,김태훈,20S,-0.44,33,0,0,8,1,6,0,4,62.0,52,51,281,61,13,0,8,39,0,4,43,0,10,7.40,1.61,65.2,82.1,-1.78
352,40,백승건,20S,-0.60,10,0,0,7,0,5,0,0,29.1,29,26,156,37,5,0,7,31,0,2,28,0,1,7.98,2.32,60.5,60.2,-1.50
353,41,김주한,20S,-0.75,22,0,0,7,1,7,0,0,46.0,43,38,220,60,7,1,7,20,0,8,22,0,4,7.43,1.74,64.9,76.2,-1.84
354,1,알칸타라,20두,8.31,31,1,0,31,20,2,0,0,198.2,58,56,795,174,38,3,12,30,0,9,182,1,3,2.54,1.03,182.6,149.7,4.35
355,2,미란다,21두,7.09,28,1,1,28,14,5,0,0,173.2,49,45,709,135,21,1,11,63,0,1,225,1,7,2.33,1.14,185.0,161.1,3.27
356,3,린드블럼,19두,6.86,30,0,0,30,20,3,0,0,194.2,57,54,773,165,22,3,13,29,0,6,189,0,7,2.50,1.00,164.4,141.5,4.44
357,4,린드블럼,18두,6.81,26,0,0,26,15,4,0,0,168.2,56,54,681,142,33,2,16,38,0,8,157,0,10,2.88,1.07,175.4,125.2,2.06
358,5,최원준,21두,4.13,29,0,0,29,12,4,0,0,158.1,65,58,673,160,31,4,15,37,1,10,113,0,0,3.30,1.24,130.8,107.1,1.17
359,6,후랭코프,18두,4.12,28,0,0,28,18,3,0,0,149.1,64,62,621,118,17,1,12,55,1,22,134,0,15,3.74,1.16,135.3,110.0,1.18
360,7,로켓,21두,4.10,21,1,0,21,9,9,0,0,124.0,44,41,540,132,20,2,5,42,1,12,112,1,1,2.98,1.40,144.9,130.9,1.00
361,8,이용찬,18두,3.91,25,1,0,24,15,3,0,0,144.0,62,58,608,151,24,1,14,36,2,8,102,0,6,3.63,1.30,139.4,110.8,0.45
362,9,유희관,19두,3.55,28,2,0,27,11,8,0,0,166.1,67,60,692,171,37,2,8,42,3,3,64,0,2,3.25,1.28,126.5,102.3,1.70
363,10,플렉센,20두,3.51,21,0,0,21,8,4,0,0,116.2,43,39,472,97,14,0,6,30,2,2,132,0,5,3.01,1.09,154.0,169.7,1.01
364,11,최원준,20두,3.08,42,0,0,18,10,2,0,0,123.0,52,52,532,134,23,3,15,35,0,7,94,1,2,3.80,1.37,121.8,99.0,0.80
365,12,이영하,19두,3.03,29,1,0,27,17,4,0,0,163.1,70,66,692,148,28,5,5,61,1,10,90,2,5,3.64,1.28,112.9,103.4,3.13
366,13,함덕주,18두,2.95,62,0,0,0,6,3,27,3,67.0,23,22,293,58,9,1,4,37,3,4,75,0,4,2.96,1.42,171.0,124.8,1.58
367,14,홍건희,21두,2.92,65,0,0,0,6,6,3,17,74.1,23,23,303,65,11,0,3,27,0,0,82,1,7,2.78,1.24,154.9,158.9,0.60
368,15,후랭코프,19두,2.59,22,0,0,22,9,8,0,0,117.1,48,47,495,110,20,2,5,30,1,13,111,1,2,3.61,1.19,113.9,130.4,0.48
369,16,김강률,21두,2.49,50,0,0,0,3,0,21,3,51.2,15,12,230,54,7,2,2,25,4,1,41,0,4,2.09,1.53,206.4,124.0,1.80
370,17,이영하,20두,2.02,42,0,0,19,5,11,6,0,132.0,78,68,605,148,26,1,9,66,3,5,85,1,4,4.64,1.62,99.9,99.1,-1.97
371,18,스탁,22두,1.87,15,0,0,15,7,4,0,0,90.2,36,31,384,86,13,0,4,43,0,3,78,0,3,3.08,1.42,125.4,104.7,0.14
372,19,박치국,18두,1.72,67,0,0,0,1,5,3,17,67.0,30,27,293,80,13,0,5,15,4,9,60,1,1,3.63,1.42,139.4,129.6,0.27
373,20,윤명준,19두,1.62,69,0,0,0,6,2,1,14,68.1,23,20,279,63,14,0,3,20,2,3,40,0,7,2.63,1.22,155.8,110.3,0.36
374,21,박치국,20두,1.46,63,0,0,0,4,4,0,6,71.2,34,23,317,65,12,2,5,34,4,5,66,0,1,2.89,1.38,160.4,113.5,-0.27
375,22,이용찬,19두,1.35,26,0,0,26,7,10,0,0,148.1,75,67,651,168,28,2,15,45,3,6,102,0,3,4.07,1.44,101.0,93.9,0.09
376,23,함덕주,20두,1.34,36,0,0,6,5,1,10,2,55.1,25,24,240,55,7,0,2,21,2,0,55,0,7,3.90,1.37,118.7,152.5,-0.39
377,24,곽빈,21두,1.34,21,0,0,21,4,7,0,0,98.2,50,45,455,78,17,3,7,79,0,12,96,1,6,4.10,1.59,105.1,85.6,-0.30
378,25,이영하,18두,1.32,40,0,0,17,10,3,0,2,122.2,75,72,555,140,28,5,15,54,1,9,90,0,8,5.28,1.58,95.7,92.1,-1.25
379,26,최원준,19두,1.29,34,0,0,3,1,2,1,4,54.1,17,16,228,52,12,1,1,16,1,4,38,0,1,2.65,1.25,154.9,125.5,-0.23
380,27,김승회,18두,1.21,55,0,0,0,3,4,3,11,54.2,26,21,242,54,11,0,6,23,1,5,34,0,3,3.46,1.41,146.2,91.9,-0.58
381,28,이형범,19두,1.21,67,0,0,0,6,3,19,10,61.0,25,18,258,57,6,0,4,19,2,9,31,0,2,2.66,1.25,154.6,90.5,1.23
382,29,김명신,22두,1.18,30,0,0,0,1,1,0,3,41.0,11,11,163,32,2,0,3,13,0,1,28,0,2,2.41,1.10,159.8,97.6,-0.13
383,30,김강률,18두,1.04,65,0,0,0,5,0,6,11,76.0,42,39,317,72,10,0,7,24,1,3,81,0,6,4.62,1.26,109.4,128.3,1.51
384,31,김승회,19두,1.00,55,0,0,0,3,3,3,7,58.2,24,20,250,57,12,3,1,16,1,2,46,0,5,3.07,1.24,133.8,141.4,0.30
385,32,최원준,22두,0.90,13,0,0,13,4,5,0,0,72.2,34,24,305,74,12,0,9,13,0,1,54,0,1,2.97,1.20,129.8,94.1,0.05
386,33,홍건희,20두,0.86,50,0,0,0,3,4,1,8,56.2,31,30,251,63,12,1,5,20,0,5,51,0,3,4.76,1.47,97.2,109.3,-0.59
387,34,함덕주,19두,0.82,61,0,0,0,2,5,16,7,54.2,24,21,236,39,7,1,6,34,4,1,48,0,2,3.46,1.34,118.7,84.8,1.14
388,35,이승진,21두,0.73,47,0,0,0,1,4,2,13,48.1,24,21,210,41,3,0,3,31,2,2,28,2,2,3.91,1.49,110.3,88.8,0.25
389,36,김민규,20두,0.64,29,0,0,4,1,2,1,0,53.1,30,29,231,47,14,0,3,22,2,3,54,0,1,4.89,1.29,94.7,130.7,0.19
390,37,곽빈,22두,0.64,13,0,0,13,3,6,0,0,68.1,35,29,304,59,13,0,6,39,0,5,62,0,5,3.82,1.43,101.0,83.7,-0.04
391,38,김명신,21두,0.57,58,0,0,1,3,2,0,2,67.0,37,32,289,72,14,3,6,14,1,6,43,0,1,4.30,1.28,100.3,105.9,-0.19
392,39,채지선,20두,0.46,37,0,0,0,1,0,0,2,33.0,18,18,158,34,3,1,3,24,1,5,34,0,11,4.91,1.76,94.4,88.7,-0.09
393,40,윤명준,20두,0.39,42,0,0,0,0,0,2,7,40.0,24,22,180,49,6,1,4,12,1,1,20,0,1,4.95,1.53,93.6,97.2,0.42
394,41,이승진,20두,0.39,33,0,0,5,2,4,0,5,51.1,33,32,228,55,12,2,3,22,1,2,54,0,0,5.61,1.50,82.6,130.7,-0.66
395,42,박치국,19두,0.36,61,0,0,0,2,2,3,14,52.0,26,26,229,64,14,1,5,14,2,5,35,0,3,4.50,1.50,91.2,94.6,-1.07
396,43,이현승,18두,0.35,39,0,0,0,1,0,0,6,30.2,18,17,140,39,9,2,4,14,1,1,21,0,0,4.99,1.73,101.3,91.0,0.02
397,44,정철원,22두,0.34,21,0,0,0,2,2,0,7,26.0,12,12,107,23,3,1,3,8,2,2,16,0,1,4.15,1.19,92.9,84.4,0.12
398,45,이현호,18두,0.27,15,0,0,2,0,0,1,0,28.0,19,19,134,37,6,0,4,13,0,1,23,0,1,6.11,1.79,82.8,90.4,-0.15
399,46,이현승,20두,0.25,62,0,0,0,2,1,2,9,42.1,27,25,195,48,9,2,2,21,0,2,42,1,3,5.31,1.63,87.2,122.4,-0.55
400,47,배영수,19두,0.21,37,0,0,0,1,2,0,0,45.1,25,23,194,50,11,1,4,11,2,3,10,1,3,4.57,1.35,89.9,83.2,-0.60
401,48,박종기,20두,0.19,8,0,0,5,1,2,0,0,26.0,16,16,117,30,6,0,3,14,0,0,20,0,1,5.54,1.69,83.6,89.9,0.11
402,49,윤명준,21두,0.17,45,0,0,0,1,0,0,1,45.2,28,24,208,53,6,0,3,20,2,4,26,1,1,4.73,1.60,91.2,96.7,-0.44
403,50,홍건희,22두,0.17,29,0,0,0,1,4,5,9,32.2,17,14,141,29,5,0,2,13,2,2,27,0,4,3.86,1.29,100.0,105.3,0.77
404,51,유희관,20두,0.15,27,0,0,27,10,11,0,0,136.1,91,76,622,190,37,5,14,39,4,3,56,0,1,5.02,1.68,92.3,94.3,-2.34
405,52,박신지,22두,0.04,16,0,0,3,1,1,0,0,26.0,15,15,129,29,5,0,2,17,0,2,19,0,2,5.19,1.77,74.3,76.2,-0.34
406,53,이현호,19두,-0.01,16,0,0,8,1,0,0,0,40.1,25,23,191,51,8,1,2,19,0,1,22,1,2,5.13,1.74,80.0,92.3,-0.51
407,54,이영하,22두,-0.01,14,0,0,14,6,4,0,0,74.2,44,35,337,81,12,0,4,34,1,4,65,0,5,4.22,1.54,91.5,102.5,-0.56
408,55,김강률,20두,-0.16,30,0,0,0,2,2,0,0,28.0,22,11,141,36,6,2,1,20,0,4,28,0,0,3.54,2.00,131.0,102.1,-0.30
409,56,권혁,19두,-0.21,57,0,0,0,2,2,1,11,36.2,23,20,155,36,7,0,3,7,0,2,21,0,0,4.91,1.17,83.6,100.2,0.02
410,57,박종기,21두,-0.23,22,0,0,5,0,4,0,0,59.2,42,38,274,69,10,1,3,29,0,3,33,0,3,5.73,1.64,75.3,97.3,-1.66
411,58,김민규,21두,-0.23,31,0,0,6,2,3,0,1,56.1,40,38,262,64,10,0,9,28,0,4,39,0,3,6.07,1.63,71.0,74.4,-0.67
412,59,이영하,21두,-0.28,35,0,0,11,5,6,1,2,78.2,58,55,364,81,18,0,9,57,0,1,53,0,7,6.29,1.75,68.5,75.8,-1.63
413,60,최승용,22두,-0.29,20,0,0,8,2,4,0,2,42.1,29,28,191,51,7,3,3,16,0,2,24,1,1,5.95,1.58,64.8,87.7,-0.34
414,61,곽빈,18두,-0.36,32,0,0,0,3,1,1,4,31.0,26,26,154,44,10,0,6,17,0,3,26,0,0,7.55,1.97,67.0,75.6,-0.11
415,62,이형범,20두,-0.39,27,0,0,0,1,2,1,1,25.2,22,22,122,30,6,0,5,16,2,2,13,0,1,7.71,1.79,60.1,65.9,-2.18
416,63,유희관,18두,-0.53,29,0,0,28,10,10,0,0,141.0,108,105,650,197,41,3,23,42,0,4,81,0,1,6.70,1.70,75.4,86.5,-2.73
417,64,이용찬,20두,-0.54,5,0,0,5,1,3,0,0,26.2,25,25,125,41,8,0,7,6,0,0,15,0,1,8.44,1.76,54.9,69.2,-0.74
418,65,유희관,21두,-1.48,15,0,0,15,4,7,0,0,63.0,57,54,314,107,14,3,10,24,0,3,23,0,0,7.71,2.08,55.9,71.8,-1.98
419,66,장원준,18두,-2.19,24,0,0,16,3,7,0,2,71.2,81,79,349,101,19,0,12,33,0,11,46,0,3,9.92,1.87,51.0,76.4,-3.12
420,1,스트레일리,20롯,7.53,31,0,0,31,15,4,0,0,194.2,61,54,777,148,27,2,10,51,0,7,205,0,4,2.50,1.02,195.1,159.0,3.84
421,2,레일리,19롯,4.08,30,0,0,30,5,14,0,0,181.0,88,78,791,191,32,4,10,65,1,8,140,1,10,3.88,1.41,108.1,111.1,0.20
422,3,박세웅,21롯,4.01,28,1,1,28,10,9,0,0,163.0,75,72,685,141,24,0,20,53,0,10,125,0,17,3.98,1.19,114.3,98.1,-0.23
423,4,노경은,18롯,3.41,33,0,0,19,9,6,0,0,132.1,65,60,547,127,24,3,18,30,1,4,89,0,1,4.08,1.19,127.8,104.5,0.27
424,5,스트레일리,21롯,3.02,31,0,0,31,10,12,0,0,165.2,85,75,714,162,25,2,12,66,0,8,164,1,8,4.07,1.38,111.5,122.8,0.14
425,6,레일리,18롯,2.95,30,0,0,30,11,13,0,0,178.1,106,94,775,180,34,4,24,54,1,18,178,2,4,4.74,1.31,109.9,109.3,-1.94
426,7,듀브론트,18롯,2.33,25,0,0,25,6,9,0,0,137.1,82,75,629,162,29,2,13,62,1,8,109,3,10,4.92,1.63,106.1,104.8,-1.66
427,8,김원중,21롯,2.26,61,0,0,0,4,4,35,0,62.2,26,25,268,50,8,0,6,28,4,3,64,0,8,3.59,1.25,126.6,116.5,2.20
428,9,손승락,18롯,2.24,57,0,0,0,3,5,28,0,57.2,26,25,250,53,13,0,1,20,4,1,60,0,2,3.90,1.27,133.7,182.5,0.69
429,10,구승민,18롯,2.20,64,0,0,0,7,4,0,14,73.2,33,30,307,62,15,0,12,31,6,3,75,1,2,3.67,1.26,142.3,103.6,-0.26
430,11,박세웅,20롯,2.02,28,0,0,28,8,10,0,0,147.1,85,77,658,177,27,2,20,47,0,8,108,0,13,4.70,1.52,103.6,96.5,-1.77
431,12,반즈,22롯,1.95,16,0,0,16,7,5,0,0,101.0,42,32,424,93,17,3,5,22,1,11,88,0,2,2.85,1.14,139.1,123.3,0.24
432,13,최준용,21롯,1.94,44,0,0,0,4,2,1,20,47.1,16,15,195,41,7,0,6,16,3,1,45,0,1,2.85,1.20,159.4,112.5,2.28
433,14,구승민,20롯,1.94,57,0,0,0,5,2,0,20,60.1,25,24,238,40,9,0,8,26,2,0,58,0,1,3.58,1.09,136.1,105.5,0.94
434,15,진명호,19롯,1.88,60,0,0,0,3,2,0,9,63.1,24,24,273,56,12,0,4,35,4,1,51,0,3,3.41,1.44,122.9,101.2,0.68
435,16,노경은,20롯,1.70,25,1,0,24,5,10,0,0,133.0,76,72,574,139,31,1,19,40,2,3,77,0,3,4.87,1.35,100.0,92.7,-0.54
436,17,오현택,18롯,1.64,72,0,0,0,3,2,0,25,64.2,32,27,268,66,9,0,11,12,0,3,63,1,2,3.76,1.21,138.8,109.3,0.11
437,18,김원중,20롯,1.61,58,0,0,0,5,4,25,0,59.1,29,26,249,52,14,1,8,23,5,0,57,0,1,3.94,1.26,123.5,111.8,-0.63
438,19,박세웅,22롯,1.59,14,0,0,14,5,5,0,0,86.1,38,34,355,87,16,2,4,16,1,4,84,0,3,3.54,1.19,111.9,148.1,0.40
439,20,구승민,22롯,1.44,33,0,0,0,0,1,0,9,27.1,5,5,116,19,5,0,0,16,1,0,37,0,2,1.65,1.28,240.8,173.4,0.97
440,21,이인복,21롯,1.31,25,0,0,8,3,0,0,1,61.1,31,28,271,75,17,3,5,14,1,5,45,0,0,4.11,1.45,110.6,117.3,0.08
441,22,구승민,21롯,1.27,68,0,0,0,6,5,0,20,62.1,30,30,262,47,7,2,5,31,0,4,65,1,4,4.33,1.25,104.9,112.4,0.30
442,23,진명호,18롯,1.19,60,0,0,0,5,4,1,9,61.2,34,30,282,53,19,0,7,46,6,1,65,0,3,4.38,1.61,119.1,100.7,-0.14
443,24,장시환,19롯,1.18,27,0,0,27,6,13,0,0,125.1,78,69,570,147,29,1,12,58,1,2,109,0,17,4.95,1.64,84.6,97.2,-0.61
444,25,김대우,20롯,1.15,46,0,0,1,0,1,0,0,49.1,22,17,216,48,11,0,1,26,1,2,43,1,5,3.10,1.50,157.1,128.4,-0.94
445,26,박시영,19롯,1.05,43,0,0,6,1,1,0,4,61.2,30,29,262,51,10,1,5,27,0,4,60,0,7,4.23,1.27,99.1,104.3,0.73
446,27,오현택,20롯,1.04,48,0,0,0,3,1,0,7,36.0,15,15,152,37,6,1,5,8,1,2,17,0,1,3.75,1.25,129.9,92.9,0.10
447,28,최준용,22롯,1.03,31,0,0,0,1,4,14,2,35.2,14,14,147,26,5,0,4,11,1,2,46,0,3,3.53,1.04,112.2,120.9,0.69
448,29,박세웅,19롯,0.98,12,0,0,12,3,6,0,0,60.0,33,28,263,66,12,3,3,23,0,0,44,0,4,4.20,1.48,99.8,112.2,-0.45
449,30,이인복,20롯,0.97,47,0,0,1,1,4,0,2,45.1,22,20,199,57,9,0,2,12,1,1,21,0,2,3.97,1.52,122.7,119.7,-1.01
450,31,이인복,22롯,0.95,15,0,0,13,6,7,0,1,76.1,37,34,321,84,14,0,4,17,0,3,49,0,2,4.01,1.32,98.9,111.5,0.11
451,32,김건국,19롯,0.90,37,0,0,5,3,3,0,3,66.2,34,33,293,73,8,1,5,27,0,6,43,0,3,4.46,1.50,94.1,91.6,-0.27
452,33,손승락,19롯,0.85,53,0,0,0,4,3,9,2,52.2,27,23,233,54,9,1,3,19,3,3,44,0,2,3.93,1.39,106.7,117.4,-1.04
453,34,톰슨,19롯,0.82,11,1,1,11,2,3,0,0,62.2,35,33,267,54,8,1,4,23,0,5,60,0,8,4.74,1.23,88.5,114.4,-0.26
454,35,나균안,22롯,0.78,20,0,0,4,1,3,0,2,52.0,25,24,222,55,18,1,1,17,1,1,57,0,3,4.15,1.39,95.5,166.0,-0.48
455,36,박진형,19롯,0.76,41,0,0,0,2,1,5,5,40.1,19,18,169,40,3,0,6,11,3,0,40,0,5,4.02,1.26,104.4,106.5,-1.02
456,37,프랑코,21롯,0.76,37,0,0,27,9,8,0,1,150.0,97,90,677,147,31,2,20,75,0,20,124,1,6,5.40,1.48,84.2,84.1,-1.27
457,38,김건국,20롯,0.70,32,0,0,0,3,2,0,1,31.2,14,14,139,30,5,2,2,9,0,3,31,0,4,3.98,1.23,122.4,134.6,-0.22
458,39,고효준,19롯,0.70,75,0,0,0,2,7,0,15,62.1,34,33,280,58,13,1,6,36,6,3,72,0,11,4.76,1.51,88.0,106.2,-1.37
459,40,다익손,19롯,0.66,17,0,0,16,3,8,0,0,83.2,52,46,369,99,10,1,8,22,1,4,59,1,3,4.95,1.45,84.7,101.6,-0.96
460,41,서준원,19롯,0.63,33,0,0,16,4,11,0,0,97.0,61,59,443,117,25,1,10,38,0,11,60,1,1,5.47,1.60,76.6,83.5,-0.84
461,42,윤길현,18롯,0.62,32,0,0,0,1,2,0,4,33.0,18,17,145,33,6,2,4,15,0,0,29,0,2,4.64,1.46,112.5,104.4,-0.34
462,43,서준원,20롯,0.56,31,0,0,20,7,6,0,0,107.2,71,62,480,130,18,0,16,31,1,5,60,0,3,5.18,1.50,94.0,89.8,-1.13
463,44,최준용,20롯,0.54,31,0,0,0,0,2,0,8,29.2,16,16,130,31,7,1,3,11,4,2,26,0,3,4.85,1.42,100.4,119.1,-0.75
464,45,장시환,18롯,0.48,32,0,0,0,1,0,0,2,36.2,23,19,174,39,4,2,5,19,0,3,44,0,2,4.66,1.58,111.8,104.6,-0.14
465,46,윤성빈,18롯,0.39,18,0,0,10,2,5,0,0,50.2,36,36,235,51,12,0,5,36,0,3,65,0,5,6.39,1.72,81.6,107.7,-0.98
466,47,박진형,20롯,0.38,53,0,0,0,1,4,0,17,42.2,27,27,194,56,15,2,7,13,2,4,50,0,3,5.70,1.62,85.5,109.3,-1.18
467,48,송승준,18롯,0.35,22,0,0,15,3,4,0,0,79.0,58,54,361,93,23,2,8,35,0,4,68,0,5,6.15,1.62,84.8,106.4,-2.06
468,49,샘슨,20롯,0.30,25,0,0,25,9,12,0,0,130.0,87,78,590,167,25,1,14,36,0,6,87,2,8,5.40,1.56,90.2,104.6,-1.07
469,50,정성종,19롯,0.19,32,0,0,0,1,1,0,0,49.2,33,30,231,64,10,1,6,24,3,4,24,0,4,5.44,1.77,77.1,75.9,-0.09
470,51,김유영,22롯,0.17,34,0,0,0,2,1,0,11,26.0,14,12,125,34,9,0,0,13,2,2,24,0,2,4.15,1.81,95.5,131.6,-0.41
471,52,스파크맨,22롯,0.13,13,0,0,13,2,2,0,0,57.2,34,31,260,60,11,0,3,33,1,3,63,0,4,4.84,1.61,82.0,107.5,-0.13
472,53,김진욱,21롯,0.13,39,0,0,5,4,6,0,8,45.2,32,32,227,42,9,0,3,49,3,3,45,0,15,6.31,1.99,72.1,82.0,-1.26
473,54,김대우,21롯,0.12,39,0,0,0,2,2,0,9,35.1,22,20,160,32,7,0,4,24,0,4,31,0,5,5.09,1.59,89.2,82.3,-0.71
474,55,김진욱,22롯,0.11,8,0,0,8,2,2,0,0,34.2,20,19,155,24,4,0,2,20,0,6,38,0,3,4.93,1.27,80.4,94.8,-0.19
475,56,김도규,21롯,0.10,43,0,0,0,2,1,0,5,42.0,28,27,182,41,5,1,3,22,1,0,39,0,2,5.79,1.50,78.6,114.2,0.51
476,57,이명우,18롯,0.05,59,0,0,1,0,1,0,2,44.0,36,26,200,59,15,0,1,9,1,0,25,0,3,5.32,1.55,98.1,147.4,-0.90
477,58,이승헌,20롯,0.05,8,0,0,8,3,2,0,0,36.2,25,19,157,34,2,1,1,11,1,2,34,1,2,4.66,1.23,104.5,157.3,-0.30
478,59,김원중,18롯,0.02,30,0,0,30,8,7,0,0,145.1,115,112,681,173,37,2,28,77,1,11,137,0,7,6.94,1.72,75.2,83.7,-2.69
479,60,이승헌,21롯,-0.00,16,0,0,12,0,3,0,0,57.2,39,37,278,65,10,0,2,43,0,7,32,1,11,5.77,1.87,78.7,84.6,-0.93
480,61,진명호,20롯,-0.02,37,0,0,0,0,1,0,2,31.1,25,25,146,29,5,1,3,22,0,2,32,0,1,7.18,1.63,67.8,94.7,-1.29
481,62,최영환,21롯,-0.05,20,0,0,7,1,2,0,0,40.2,30,28,181,45,10,0,4,24,0,2,28,0,4,6.20,1.70,73.3,86.7,-0.58
482,63,고효준,18롯,-0.14,43,0,0,0,2,3,0,7,32.1,27,25,153,33,8,1,3,23,0,0,39,0,5,6.96,1.73,75.0,110.1,-0.59
483,64,나균안,21롯,-0.22,23,0,0,7,1,2,1,1,46.1,36,33,223,62,13,0,4,24,0,0,27,1,1,6.41,1.86,70.9,92.1,-0.74
484,65,박시영,20롯,-0.34,36,0,0,0,1,1,0,1,30.1,27,27,145,32,7,0,5,23,0,1,21,0,1,8.01,1.81,60.8,71.7,-1.17
485,66,박시영,18롯,-0.36,21,0,0,1,0,0,0,0,26.1,27,25,129,35,6,1,6,14,0,1,19,0,5,8.54,1.86,61.0,74.1,-0.35
486,67,김원중,19롯,-0.36,28,0,0,17,5,10,0,1,102.1,75,65,485,127,21,1,13,47,1,6,93,0,6,5.72,1.70,73.3,88.2,-2.18
487,68,장원삼,20롯,-0.42,13,0,0,4,0,3,0,0,34.0,32,29,160,49,8,0,6,10,1,3,15,0,0,7.68,1.74,63.5,79.7,-1.20
488,69,서준원,21롯,-0.65,26,0,0,8,1,3,0,3,54.0,46,44,257,72,13,2,5,29,3,2,37,0,1,7.33,1.87,62.0,94.4,-1.07
489,70,노경은,21롯,-0.80,14,0,0,11,3,5,0,0,56.1,50,46,269,79,16,1,11,24,0,4,35,0,3,7.35,1.83,61.8,73.1,-1.90
490,71,구승민,19롯,-0.83,41,0,0,0,1,4,2,6,36.0,29,25,180,45,5,0,5,21,6,3,43,0,7,6.25,1.83,67.1,96.6,-2.01
491,72,박세웅,18롯,-1.20,14,0,0,12,1,5,0,0,49.0,54,54,258,83,20,2,10,29,0,4,40,0,3,9.92,2.29,52.6,76.1,-2.21
492,1,백정현,21삼,5.28,27,0,0,27,14,5,0,0,157.2,54,46,648,142,25,1,15,54,2,2,109,0,5,2.63,1.24,171.9,107.3,1.78
493,2,원태인,21삼,4.76,26,0,0,26,14,7,0,0,158.2,59,54,655,147,32,1,11,51,1,5,129,1,5,3.06,1.25,147.4,123.4,2.41
494,3,뷰캐넌,20삼,4.68,27,1,0,27,15,7,0,0,174.2,71,67,728,172,19,2,16,50,0,7,121,0,2,3.45,1.27,142.1,112.2,1.62
495,4,뷰캐넌,21삼,4.55,30,1,1,30,16,5,0,0,177.0,71,61,758,173,25,4,13,59,2,2,162,0,7,3.10,1.31,145.5,130.3,1.66
496,5,최채흥,20삼,3.35,26,1,1,26,11,6,0,0,146.0,67,58,617,131,27,1,12,51,0,7,123,3,3,3.58,1.25,137.2,117.7,1.32
497,6,뷰캐넌,22삼,3.17,15,1,1,15,6,4,0,0,96.2,30,26,411,98,17,0,4,23,0,5,77,0,2,2.42,1.25,164.6,125.8,1.57
498,7,오승환,21삼,3.03,64,0,0,0,0,2,44,0,62.0,17,14,252,56,15,3,3,16,3,2,57,0,2,2.03,1.16,222.1,157.9,4.31
