,ranking,name,season_team,war,choolzhang,wanto,sonbal,win,loose,save,hold,inning,silzeom,zachaeck,taza,anta,2hit,3hit,homerun,ballfour,gofour,sagu,samzin,vok,poktu,era,fip,whip,wra+,fip+,wpa
70,1,고영표,21k,5.23,26,1,1,25,11,6,0,1,166.2,59,54,664,147,20,2,9,27,1,14,130,0,1,2.92,1.04,154.0,139.2,2.27
71,2,니퍼트,18k,4.74,29,0,0,28,8,8,0,0,175.2,88,83,765,209,33,4,26,39,2,9,165,0,9,4.25,1.41,124.6,111.4,-0.06
72,3,데스파이네,21k,4.01,33,0,0,33,13,10,0,0,188.2,81,71,819,175,30,3,10,78,0,7,165,0,15,3.39,1.34,132.6,122.7,0.79
73,4,피어밴드,18k,3.78,27,1,0,26,8,8,0,0,163.1,90,78,707,186,27,1,24,38,0,6,141,0,5,4.30,1.37,123.3,107.7,-1.28
74,5,쿠에바스,19k,3.44,30,0,0,30,13,10,0,0,184.0,80,74,760,153,21,6,18,63,0,12,135,0,4,3.62,1.17,114.3,92.7,1.22
75,6,데스파이네,20k,3.21,35,0,0,34,15,8,0,0,207.2,105,100,906,233,36,1,18,68,1,8,152,0,18,4.33,1.45,110.9,110.7,0.38
76,7,고영표,22k,3.21,14,1,1,14,5,5,0,0,95.2,31,30,389,90,15,2,2,13,1,12,88,0,0,2.82,1.08,140.4,156.4,1.41
77,8,김재윤,21k,3.08,65,0,0,0,4,3,32,0,67.0,19,18,275,57,8,0,5,24,4,0,64,0,2,2.42,1.21,185.8,135.2,1.38
78,9,소형준,22k,2.67,13,0,0,13,7,2,0,0,87.0,30,26,352,73,5,3,3,18,0,3,62,0,3,2.69,1.05,147.3,127.7,1.23
79,10,배제성,20k,2.65,26,0,0,26,10,7,0,0,141.1,67,62,619,130,30,1,12,76,0,4,83,1,11,3.95,1.46,121.7,91.8,1.09
80,11,쿠에바스,20k,2.64,27,0,0,27,10,8,0,0,158.0,80,72,668,152,26,1,16,46,0,9,110,0,4,4.10,1.25,117.1,105.1,-0.29
81,12,주권,20k,2.63,77,0,0,0,6,2,0,31,70.0,25,21,294,54,11,0,6,32,1,1,37,0,0,2.70,1.23,177.9,95.5,1.16
82,13,알칸타라,19k,2.60,27,1,0,27,11,11,0,0,172.2,80,77,724,189,39,3,15,27,0,8,100,2,2,4.01,1.25,103.1,103.3,0.88
83,14,배제성,21k,2.55,26,0,0,26,9,10,0,0,141.2,67,58,621,126,27,1,6,82,1,1,136,0,9,3.68,1.47,121.9,120.3,0.35
84,15,소형준,20k,2.37,26,0,0,24,13,6,0,0,133.0,63,57,572,141,23,0,6,45,0,6,92,0,2,3.86,1.40,124.6,122.0,0.30
85,16,김재윤,20k,2.22,56,0,0,0,5,3,21,1,60.2,23,22,256,62,4,2,7,15,3,0,58,0,0,3.26,1.27,147.2,127.7,0.16
86,17,배제성,19k,2.21,28,1,1,21,10,10,0,0,131.2,58,55,564,132,18,3,6,56,0,3,91,0,10,3.76,1.43,110.1,104.5,0.18
