"순 이름 팀 정렬
48 조용호 21KLF 0.39 138 515 428 71 101 14 1 0 117 48 12 9 74 3 0 85 8 5 5 .236 .349 .273 .622 .310 77.7 0.39 0.21
49 박승욱 20K2B 0.34 97 128 110 23 29 3 2 1 39 10 5 1 11 4 0 37 1 2 1 .264 .349 .355 .704 .327 87.0 0.34 -0.37
50 허도환 21KC 0.29 62 125 105 8 29 6 0 2 41 21 0 0 8 2 0 28 3 10 0 .276 .339 .390 .730 .317 82.1 0.29 0.19
"순 이름 팀 정렬
G
타석
타수
득점
안타
2타
3타
홈런
루타
타점
도루
도실
볼넷
사구
고4
삼진
병살
희타
희비
비율
WAR*
WPA"
"WAR*
타율
출루
장타
OPS
wOBA
wRC+"
51 문상철 20K1B 0.28 74 172 154 24 40 3 2 8 71 25 0 1 11 2 0 43 4 3 2 .260 .314 .461 .775 .336 94.6 0.28 -0.98
52 강민국 19KSS 0.28 58 94 88 12 24 0 1 0 26 7 2 0 6 0 0 17 2 0 0 .273 .319 .295 .615 .295 72.6 0.28 -0.14
53 라모스 22KRF 0.28 18 80 72 10 18 1 1 3 30 11 2 0 4 2 0 18 2 1 1 .250 .304 .417 .721 .324 103.3 0.28 -0.16
54 강백호 22KDH 0.27 13 57 49 7 13 6 0 1 22 6 0 0 7 0 1 7 0 0 1 .265 .351 .449 .800 .357 125.3 0.27 -0.12
55 신본기 21K2B 0.26 96 205 173 25 41 8 0 1 52 19 1 2 22 4 0 44 6 5 1 .237 .335 .301 .636 .305 74.7 0.26 -0.52
56 허도환 20KC 0.23 52 62 53 2 14 1 0 0 15 5 0 0 6 2 0 15 2 1 0 .264 .361 .283 .644 .314 78.3 0.23 0.56
57 송민섭 19KRF 0.21 104 64 53 24 16 0 1 0 18 4 0 3 7 2 0 13 0 1 1 .302 .397 .340 .736 .350 110.6 0.21 0.31
58 박경수 21K2B 0.10 118 280 239 24 46 10 0 9 83 33 0 1 34 3 2 76 7 4 0 .192 .301 .347 .648 .301 72.4 0.10 -0.95
59 김민혁 22KLF 0.02 62 238 203 28 55 4 1 0 61 23 3 3 21 1 0 35 5 10 3 .271 .338 .300 .638 .293 79.6 0.02 0.39
60 오태곤 20KLF -0.01 40 55 50 7 11 1 1 0 14 5 1 0 1 4 0 16 2 0 0 .220 .291 .280 .571 .275 54.0 -0.01 0.01
"순 이름 팀 정렬
G
타석
타수
득점
안타
2타
3타
홈런
루타
타점
도루
도실
볼넷
사구
고4
삼진
병살
희타
희비
비율
WAR*
WPA"
"WAR*
타율
출루
장타
OPS
wOBA
wRC+"
61 홍현빈 22KRF -0.02 44 83 68 6 16 2 0 0 18 1 4 0 9 0 0 23 1 6 0 .235 .325 .265 .589 .268 62.4 -0.02 -0.73
62 문상철 21KDH -0.07 53 105 95 14 20 6 0 2 32 16 2 0 8 2 0 33 1 0 0 .211 .286 .337 .623 .295 67.8 -0.07 -0.84
63 문상철 19K1B -0.07 33 67 59 8 12 1 0 2 19 7 2 0 4 2 0 26 1 0 2 .203 .269 .322 .591 .274 61.3 -0.07 -0.28
64 정현 18KSS -0.07 65 132 117 16 31 7 0 2 44 9 3 0 9 0 0 28 3 6 0 .265 .318 .376 .694 .297 63.2 -0.07 -1.26
65 오태곤 19KDH -0.08 60 192 164 27 36 5 0 2 47 13 10 2 20 4 0 39 4 3 1 .220 .318 .287 .604 .289 70.7 -0.08 -0.33
66 심우준 20KSS -0.09 144 535 476 58 112 16 3 3 143 51 35 11 37 2 0 98 7 16 4 .235 .291 .300 .591 .271 50.2 -0.09 -2.65
67 심우준 18KSS -0.09 135 403 367 49 95 23 3 4 136 29 11 11 20 4 1 58 4 11 1 .259 .304 .371 .674 .291 59.5 -0.09 -0.42
68 오태곤 18KLF -0.10 128 374 342 55 87 17 2 12 144 39 13 8 24 4 0 92 7 3 1 .254 .310 .421 .731 .317 76.5 -0.10 -0.03
69 강민국 21K2B -0.10 18 50 45 2 11 2 0 0 13 4 0 0 3 0 0 6 1 2 0 .244 .292 .289 .581 .270 50.6 -0.10 -0.17
70 이해창 18KC -0.15 83 174 162 19 35 4 0 8 63 24 0 3 8 3 0 49 3 1 0 .216 .266 .389 .655 .282 54.5 -0.15 -0.69
