6 오승환 21삼 3.03 64 0 0 0 0 2 44 0 62.0 17 14 252 56 15 3 3 16 3 2 57 0 2 2.03 2.85 1.16 222.1 157.9 3.03 4.31
7 최충연 18삼 2.98 70 0 0 0 2 6 8 16 85.0 34 34 344 73 16 2 6 26 1 2 101 0 8 3.60 3.33 1.17 147.3 156.2 2.98 1.49
8 뷰캐넌 22삼 2.97 14 1 1 14 6 3 0 0 90.0 27 23 381 90 16 0 3 21 0 5 71 0 2 2.30 3.02 1.23 171.6 128.9 2.97 1.55
9 아델만 18삼 2.81 31 0 0 31 8 12 0 0 171.0 101 96 758 202 39 1 20 54 0 11 137 1 7 5.05 4.89 1.50 105.0 107.1 2.81 -1.15
10 라이블리 20삼 2.68 21 0 0 21 6 7 0 0 112.0 54 53 478 98 16 1 11 39 0 12 95 0 2 4.26 4.50 1.22 115.2 108.2 2.68 -0.19
"순 이름 팀 정렬
출장
완투
완봉
선발
승
패
세
홀드
이닝
실점
자책
타자
안타
2타
3타
홈런
볼넷
고4
사구
삼진
보크
폭투
비율
WAR
WPA"
"WAR
ERA
FIP
WHIP
ERA+
FIP+"
11 백정현 18삼 2.34 25 0 0 23 7 7 1 0 125.2 68 64 540 142 27 2 18 36 0 3 99 0 2 4.58 5.05 1.42 115.7 104.1 2.34 -0.87
12 수아레즈 22삼 2.14 14 0 0 14 3 5 0 0 80.2 28 21 334 71 9 0 3 23 0 2 70 0 2 2.34 2.97 1.17 168.4 131.0 2.14 1.18
13 백정현 19삼 2.07 28 1 1 27 8 10 0 0 157.0 85 74 677 158 29 4 17 56 0 6 82 0 4 4.24 4.95 1.36 102.3 86.3 2.07 -0.65
14 우규민 19삼 1.99 54 0 0 0 2 7 15 7 59.0 20 18 247 58 3 0 7 10 1 6 40 0 0 2.75 4.35 1.15 158.0 98.4 1.99 0.96
15 심창민 18삼 1.86 59 0 0 0 5 2 17 5 66.1 32 30 284 57 9 2 12 22 2 9 68 0 1 4.07 5.45 1.19 130.3 96.7 1.86 1.28
16 보니야 18삼 1.77 29 0 0 29 7 10 0 0 168.0 111 99 752 193 40 2 23 63 1 12 151 1 9 5.30 5.14 1.52 100.0 102.2 1.77 -1.92
17 장필준 19삼 1.74 61 0 0 0 3 3 11 15 69.2 29 28 302 64 12 1 7 33 3 3 53 0 4 3.62 4.61 1.39 120.0 92.5 1.74 0.79
18 원태인 22삼 1.63 11 0 0 11 3 4 0 0 69.1 27 25 292 68 12 0 4 23 2 0 49 0 3 3.25 3.54 1.31 121.6 110.8 1.63 0.78
19 이승현 20삼 1.61 65 0 0 0 1 2 0 14 54.1 22 21 226 45 7 1 11 25 1 0 52 0 2 3.48 5.60 1.29 141.0 88.2 1.61 0.25
20 최채흥 21삼 1.55 26 1 0 20 5 9 0 2 122.1 66 62 538 143 21 2 16 37 1 2 82 1 4 4.56 4.62 1.47 99.0 98.3 1.55 -0.37
"순 이름 팀 정렬
출장
완투
완봉
선발
승
패
세
홀드
이닝
실점
자책
타자
안타
2타
3타
홈런
볼넷
고4
사구
삼진
보크
폭투
비율
WAR
WPA"
"WAR
ERA
FIP
WHIP
ERA+
FIP+"
21 원태인 20삼 1.51 27 0 0 26 6 10 0 0 140.0 84 76 626 162 32 1 19 56 2 5 78 0 6 4.89 5.47 1.56 100.4 89.4 1.51 -1.23
22 장필준 18삼 1.49 61 0 0 0 5 5 6 13 66.1 35 32 290 65 15 1 6 25 2 6 74 0 0 4.34 4.09 1.36 122.2 127.5 1.49 -0.78
23 양창섭 18삼 1.42 19 0 0 17 7 6 0 0 87.1 52 49 400 100 22 0 12 34 0 10 49 1 3 5.05 6.01 1.53 105.0 87.4 1.42 -0.72
24 우규민 18삼 1.39 48 0 0 0 4 1 0 10 58.2 28 28 246 70 12 0 6 12 1 5 48 0 0 4.30 4.34 1.40 123.5 120.6 1.39 -0.22
25 라이블리 19삼 1.10 9 1 1 9 4 4 0 0 57.0 26 25 236 51 9 4 4 13 0 5 58 0 0 3.95 3.23 1.12 109.9 132.1 1.10 0.25
