"순 이름 팀 정렬
21 구자욱 19삼RF 1.95 122 526 475 66 127 27 6 15 211 71 11 3 38 7 2 88 5 0 6 .267 .327 .444 .771 .348 107.6 1.95 1.16
22 오재일 22삼1B 1.84 61 251 220 26 63 17 0 12 116 43 1 0 27 0 4 63 2 0 4 .286 .359 .527 .886 .390 144.8 1.84 0.97
23 강민호 19삼C 1.83 112 393 346 36 81 20 0 13 140 45 0 0 33 9 2 76 9 2 3 .234 .315 .405 .719 .327 92.2 1.83 0.46
24 이학주 19삼SS 1.78 118 436 385 43 101 14 3 7 142 36 15 5 32 10 0 89 3 5 4 .262 .332 .369 .701 .324 92.7 1.78 -0.20
25 김지찬 22삼2B 1.70 57 233 200 36 56 6 4 0 70 17 19 0 24 0 0 31 0 9 0 .280 .357 .350 .707 .322 103.6 1.70 1.87
26 김헌곤 19삼LF 1.68 114 467 411 57 122 20 1 5 159 46 10 8 37 8 1 41 18 5 6 .297 .362 .387 .748 .346 107.6 1.68 -0.37
27 이지영 18삼C 1.58 90 203 178 31 61 10 0 2 77 19 0 0 15 4 1 27 3 6 0 .343 .406 .433 .839 .368 113.5 1.58 0.40
28 살라디노 20삼LF 1.37 44 163 132 26 37 8 0 6 63 27 6 1 23 7 0 41 3 0 1 .280 .411 .477 .888 .405 137.2 1.37 0.53
29 이원석 20삼3B 1.29 121 467 403 46 108 17 0 13 164 74 0 1 49 2 1 82 7 1 12 .268 .341 .407 .748 .338 94.3 1.29 0.22
30 박해민 19삼CF 1.26 144 581 506 64 121 16 7 5 166 44 24 7 58 2 0 82 4 12 3 .239 .318 .328 .646 .300 76.8 1.26 -1.36
"순 이름 팀 정렬
G
타석
타수
득점
안타
2타
3타
홈런
루타
타점
도루
도실
볼넷
사구
고4
삼진
병살
희타
희비
비율
WAR*
WPA"
"WAR*
타율
출루
장타
OPS
wOBA
wRC+"
31 이원석 21삼3B 1.22 131 480 399 40 92 19 0 9 138 59 1 0 60 11 2 80 11 2 8 .231 .341 .346 .687 .327 89.8 1.22 -0.29
32 김태군 22삼C 1.14 45 122 109 13 37 8 0 0 45 12 0 0 7 2 0 17 5 3 1 .339 .387 .413 .799 .364 131.9 1.14 0.32
33 김헌곤 21삼LF 1.14 118 364 317 38 89 8 2 4 113 27 5 4 34 5 0 46 9 3 5 .281 .355 .356 .711 .338 98.1 1.14 -1.03
34 김호재 20삼3B 1.11 65 138 118 19 38 5 0 1 46 10 2 0 16 3 0 19 1 1 0 .322 .416 .390 .806 .381 124.4 1.11 0.03
35 박계범 19삼SS 1.01 58 204 168 26 43 8 1 4 65 25 5 1 22 5 0 45 7 6 3 .256 .354 .387 .740 .336 99.9 1.01 -0.34
36 김현준 22삼CF 0.93 47 114 94 19 28 6 1 0 36 7 3 1 14 3 0 23 0 3 0 .298 .405 .383 .788 .365 133.3 0.93 0.18
37 김지찬 21삼SS 0.90 120 336 296 50 81 6 0 1 90 26 23 4 27 0 0 31 0 10 3 .274 .331 .304 .635 .300 73.4 0.90 0.08
38 박한이 18삼DH 0.59 114 392 342 47 97 16 0 10 143 43 5 3 43 0 2 91 9 6 1 .284 .363 .418 .781 .342 95.6 0.59 0.35
39 구자욱 22삼RF 0.59 40 179 168 22 47 9 1 2 64 19 4 1 7 3 1 39 5 1 0 .280 .320 .381 .701 .322 102.1 0.59 -0.12
40 강한울 20삼SS 0.56 34 122 105 13 32 3 0 1 38 10 1 0 11 0 0 24 3 5 1 .305 .368 .362 .729 .330 91.1 0.56 0.45
"순 이름 팀 정렬
G
타석
타수
득점
안타
2타
3타
홈런
루타
타점
도루
도실
볼넷
사구
고4
삼진
병살
희타
희비
비율
WAR*
WPA"
"WAR*
타율
출루
장타
OPS
wOBA
wRC+"
41 최영진 20삼3B 0.51 58 118 101 15 30 3 0 1 36 11 2 3 13 2 0 16 3 1 1 .297 .385 .356 .741 .351 104.3 0.51 -0.70
42 윌리엄슨 19삼RF 0.46 40 168 154 19 42 7 1 4 63 15 0 1 13 0 0 50 2 0 1 .273 .327 .409 .737 .339 101.9 0.46 -0.42
43 김상수 18삼SS 0.44 122 499 453 63 119 13 1 10 164 50 12 9 27 8 0 91 11 8 3 .263 .314 .362 .676 .299 67.1 0.44 -1.49
44 김민수 21삼C 0.42 47 87 76 9 20 5 0 3 34 13 0 0 6 1 0 13 2 2 2 .263 .318 .447 .765 .339 96.7 0.42 0.16
45 김상수 21삼2B 0.38 132 496 429 46 101 17 1 3 129 42 4 2 52 3 0 51 14 8 4 .235 .320 .301 .620 .298 71.7 0.38 -1.26
46 이학주 20삼SS 0.36 64 243 206 30 47 11 0 4 70 28 6 2 26 2 1 58 3 4 5 .228 .314 .340 .654 .298 68.5 0.36 -0.22
47 최영진 21삼3B 0.32 44 63 57 9 16 1 2 1 24 6 1 0 5 1 0 12 1 0 0 .281 .349 .421 .770 .360 114.0 0.32 -0.08
48 오선진 22삼SS 0.31 37 137 119 9 32 3 0 2 41 15 2 1 8 1 0 22 0 8 1 .269 .318 .345 .662 .293 80.8 0.31 0.01
49 이성곤 20삼1B 0.27 62 154 139 16 39 7 0 5 61 18 2 0 11 0 0 38 3 2 2 .281 .329 .439 .768 .340 95.2 0.27 -0.23
50 최영진 19삼3B 0.23 96 275 251 29 63 15 1 5 95 20 4 1 14 2 2 47 4 8 0 .251 .296 .378 .674 .299 74.9 0.23 -1.26
"순 이름 팀 정렬
G
타석
타수
득점
안타
2타
3타
홈런
루타
타점
도루
도실
볼넷
사구
고4
삼진
병살
희타
희비
비율
WAR*
WPA"
"WAR*
타율
출루
장타
OPS
wOBA
wRC+"
